ds,y
1/2/2014,19.75464249
1/3/2014,19.32071495
1/6/2014,19.42607117
1/7/2014,19.28714371
1/8/2014,19.4092865
1/9/2014,19.16142845
1/10/2014,19.03357124
1/13/2014,19.13321495
1/14/2014,19.51392937
1/15/2014,19.90571404
1/16/2014,19.7946434
1/17/2014,19.30964279
1/21/2014,19.60964394
1/22/2014,19.69678688
1/23/2014,19.86357117
1/24/2014,19.50250053
1/27/2014,19.6607132
1/28/2014,18.0892868
1/29/2014,17.8839283
1/30/2014,17.84928513
1/31/2014,17.87857056
2/3/2014,17.91178513
2/4/2014,18.1710701
2/5/2014,18.30678558
2/6/2014,18.30392838
2/7/2014,18.55999947
2/10/2014,18.89249992
2/11/2014,19.1414299
2/12/2014,19.13999939
2/13/2014,19.44392967
2/14/2014,19.42821312
2/18/2014,19.49964333
2/19/2014,19.19178581
2/20/2014,18.96964264
2/21/2014,18.7589283
2/24/2014,18.84107018
2/25/2014,18.64500046
2/26/2014,18.47678566
2/27/2014,18.84535789
2/28/2014,18.79428673
3/3/2014,18.84857178
3/4/2014,18.97285652
3/5/2014,19.01285744
3/6/2014,18.9553566
3/7/2014,18.94428635
3/10/2014,18.9614296
3/11/2014,19.14607048
3/12/2014,19.16464233
3/13/2014,18.95178604
3/14/2014,18.73892975
3/17/2014,18.81214333
3/18/2014,18.97857094
3/19/2014,18.97357178
3/20/2014,18.88214302
3/21/2014,19.03107071
3/24/2014,19.25678635
3/25/2014,19.46392822
3/26/2014,19.27785683
3/27/2014,19.19499969
3/28/2014,19.17357063
3/31/2014,19.16928673
4/1/2014,19.34464264
4/2/2014,19.37678528
4/3/2014,19.24250031
4/4/2014,18.99357033
4/7/2014,18.69535637
4/8/2014,18.69428635
4/9/2014,18.94000053
4/10/2014,18.69571495
4/11/2014,18.55750084
4/14/2014,18.63142967
4/15/2014,18.4985714
4/16/2014,18.53607178
4/17/2014,18.74785614
4/21/2014,18.97035789
4/22/2014,18.98928642
4/23/2014,18.7410717
4/24/2014,20.27750015
4/25/2014,20.42642975
4/28/2014,21.21750069
4/29/2014,21.15464211
4/30/2014,21.07464218
5/1/2014,21.12428665
5/2/2014,21.1635704
5/5/2014,21.46285629
5/6/2014,21.22892952
5/7/2014,21.15464211
5/8/2014,20.99964333
5/9/2014,20.91214371
5/12/2014,21.17250061
5/13/2014,21.20571327
5/14/2014,21.20964241
5/15/2014,21.02928543
5/16/2014,21.33964348
5/19/2014,21.59250069
5/20/2014,21.5967865
5/21/2014,21.65392876
5/22/2014,21.68821335
5/23/2014,21.93321419
5/27/2014,22.34392929
5/28/2014,22.28607178
